model_name,metrics_path,output_dir,dataset_dir,created_at,row_count,train_rows,test_rows,epochs,batch_size,hidden,purpose,input_policy,test_accuracy,test_precision,test_recall,test_f1,top1_hit_rate,top3_hit_rate,top1_safe_rate,top3_safe_rate,top1_success_rate,top3_success_rate
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0,,,18,14,4,80,,32,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0b\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0b,,,18,14,4,80,,32,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v1_candidate_pose\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v1_candidate_pose,,,306,245,61,80,,32,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v2_high_and_ranker\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v2_high_and_ranker,,,1193,954,239,80,,32,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_modular_networks_wall_design_v1\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_modular_networks_wall_design_v1,,,10986,8789,2197,140,,64,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_modular_networks_wall_design_v2\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260619_modular_networks_wall_design_v2,,,13098,10478,2620,140,,64,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_modular_stonefit_lowwall_presim_geometry_balanced_v1\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_modular_stonefit_lowwall_presim_geometry_balanced_v1,,,28458,22766,5692,180,,48,,,,,,,,,,,,
candidate_pose_rank_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_modular_stonefit_lowwall_presim_geometry_v1\candidate_pose_rank_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_modular_stonefit_lowwall_presim_geometry_v1,,,28458,22766,5692,140,,48,,,,,,,,,,,,
moon_drift_risk_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0\moon_drift_risk_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0,,,7861,6289,1572,80,,32,,,,,,,,,,,,
moon_drift_risk_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0b\moon_drift_risk_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v0b,,,7861,6289,1572,80,,32,,,,,,,,,,,,
moon_drift_risk_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v1_candidate_pose\moon_drift_risk_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260618_modular_small_networks_v1_candidate_pose,,,7909,6327,1582,80,,32,,,,,,,,,,,,
