task,runs,total_trials,first_run,latest_run,latest_trials,latest_strict_success_rate,latest_shape_success_rate,latest_stable_fraction,previous_run,previous_strict_success_rate,growth_vs_previous_strict,growth_vs_previous_shape,growth_vs_previous_stable,best_previous_run,best_previous_strict_success_rate,growth_vs_best_previous_strict,trend_label,bottleneck_hint
single_face_wall_4course_v1|moon,144,212,20260618_single_face_wall_4course_v1_hibbeler_statics_smoke,20260626_low_release_wall_master_v1_c04_flywheel_3to4_collect_exploit_00_seed206244636,1,0.0,0.0,0.4166666666666667,20260626_low_release_wall_master_v1_c04_strict_4course,0.0,0.0,0.0,-0.5448717948717949,20260622_cmd_auto_strict_4course_221000,0.5,-0.5,flat,still_moving
single_face_wall_3course_v1|moon,65,109,20260620_curriculum_2_3course_risk_top3_seed95001_v1,20260626_low_release_wall_master_v1_c04_flywheel_3to4_closed_loop_eval,2,0.0,0.0,0.8095238095238095,20260626_low_release_wall_master_v1_c04_flywheel_3to4_collect_exploit_00_seed206244636,0.0,0.0,-1.0,-0.19047619047619047,20260620_wall_flywheel_starter_v1_collect_explore_00_seed98001,1.0,-1.0,flat,shape_metric_or_drift_bottleneck
single_face_wall_4course_v1|earth,30,44,20260618_single_face_wall_4course_v1_hibbeler_statics_smoke,20260621_4course_earth_supportv4_stonefit_poseriskv5_w035_medium_after_mlpfix,1,0.0,0.0,0.625,20260620_wall_flywheel_starter_v1_closed_loop_eval,0.0,0.0,0.0,0.15833333333333333,20260618_single_face_wall_4course_v1_assignment_fallback5_gated_smoke,1.0,-1.0,flat,still_moving
single_face_wall_2course_v1|moon,12,42,20260619_single_face_wall_2course_benchmark_v1,20260625_low_release_smoke_2course_moon,1,0.0,0.0,1.0,20260622_candidate_probe_soft_code_smoke_20260622_1724,0.0,0.0,0.0,0.0,20260620_curriculum_2_3course_risk_top3_seed95001_v1,0.2,-0.2,flat,shape_metric_or_drift_bottleneck
single_face_wall_2course_v1|earth,9,40,20260619_single_face_wall_2course_benchmark_v1,20260620_curriculum_2course_assignment_neural_top4_seed95003_v1,10,0.0,0.0,0.9069767441860465,20260620_curriculum_2course_quality_top4_hold1500_seed95002_v1,0.1,-0.1,-0.1,0.012239902080783294,20260619_candidate_dense_2course_v1,0.5,-0.5,regressing,shape_metric_or_drift_bottleneck
single_face_wall_3course_v1|earth,11,24,20260620_curriculum_2_3course_risk_top3_seed95001_v1,20260621_wall_flywheel_3course_pose_risk_w035_eval,3,0.0,0.0,0.8709677419354839,20260621_wall_flywheel_3course_pose_risk_augmented_v2_smoke_eval,0.0,0.0,0.0,0.037634408602150504,20260620_curriculum_2_3course_risk_top3_seed95001_v1,0.2,-0.2,flat,shape_metric_or_drift_bottleneck
single_face_wall_high_v1|earth,16,16,20260617_single_face_wall_high_v1_height_smoke,20260619_newrocks_screening_seed93015_fullcandidates_highonly_parallel_v1,1,0.0,0.0,0.6666666666666666,20260619_newrocks_highwall_seed93014_fullcandidates_highonly_parallel_v1,0.0,0.0,0.0,-0.053333333333333344,20260617_single_face_wall_high_v1_height_smoke,0.0,0.0,flat,still_moving
single_face_wall_high_v1|moon,16,16,20260617_single_face_wall_high_v1_height_smoke,20260621_high_wall_8course_curriculum_oldstone_newrisk_v1,1,0.0,0.0,0.6774193548387096,20260619_newrocks_screening_seed93015_fullcandidates_highonly_parallel_v1,0.0,0.0,0.0,0.02524544179523136,20260617_single_face_wall_high_v1_height_smoke,0.0,0.0,flat,still_moving
single_face_wall_v1|moon,12,12,20260617_single_face_wall_v1_smoke,20260621_course3net_upperheuristic_4to5_moon_candidates5_seed602_v1,1,0.0,0.0,0.7096774193548387,20260622_course3net_upperheuristic_5course_moon_candidates8_seed606_w025_longsettle_v1,0.0,0.0,0.0,0.12903225806451613,20260617_single_face_wall_v1_smoke,0.0,0.0,flat,still_moving
single_face_wall_extra_high_v1|earth,2,2,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,20260620_closed_loop_extra_highwall_seed94016_risk_adjusted_top3_v1,1,0.0,0.0,0.5333333333333333,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,0.0,0.0,0.0,-0.08571428571428574,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,0.0,0.0,flat,insufficient_history
single_face_wall_extra_high_v1|moon,2,2,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,20260620_closed_loop_extra_highwall_seed94016_risk_adjusted_top3_v1,1,0.0,0.0,0.5,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,0.0,0.0,0.0,-0.07894736842105265,20260619_closed_loop_extra_highwall_seed94016_quality_expanded_top3_v1,0.0,0.0,flat,insufficient_history
single_face_wall_v1|earth,2,2,20260617_single_face_wall_v1_smoke,20260617_single_face_wall_v2_wall_blocks_smoke,1,0.0,0.0,0.8125,20260617_single_face_wall_v1_smoke,0.0,0.0,0.0,-0.054166666666666696,20260617_single_face_wall_v1_smoke,0.0,0.0,flat,insufficient_history
